Date,Open,High,Low,Close,Adj Close,Volume
2019-04-02,1398.000000,1403.099976,1380.099976,1389.699951,1382.046509,8012636
2019-04-03,1392.750000,1403.000000,1372.000000,1375.199951,1367.626343,7849461
2019-04-04,1379.000000,1383.699951,1347.250000,1353.050049,1345.598389,8375674
2019-04-05,1360.949951,1363.900024,1343.000000,1353.900024,1346.443726,6728239
2019-04-08,1356.000000,1357.500000,1323.699951,1329.250000,1321.929443,8723577
2019-04-09,1328.900024,1340.699951,1321.000000,1334.449951,1327.100708,9497621
2019-04-10,1337.949951,1348.000000,1326.500000,1331.400024,1324.067627,7612711
2019-04-11,1332.949951,1353.000000,1329.000000,1346.800049,1339.382813,5741333
2019-04-12,1350.000000,1356.900024,1336.650024,1343.099976,1335.703125,5919742
2019-04-15,1345.000000,1348.949951,1335.000000,1340.150024,1332.769409,4245127
2019-04-16,1345.000000,1360.000000,1340.000000,1343.750000,1336.349609,7936553
2019-04-18,1375.000000,1389.750000,1365.000000,1385.949951,1378.317139,17960482
2019-04-22,1360.000000,1367.000000,1341.300049,1345.349976,1337.940796,10792748
2019-04-23,1348.000000,1373.000000,1346.000000,1363.849976,1356.338867,9055300
2019-04-24,1370.300049,1394.800049,1366.250000,1389.500000,1381.847656,7360887
2019-04-25,1389.099976,1412.400024,1362.599976,1372.400024,1364.841797,13929820
2019-04-26,1375.000000,1395.949951,1370.699951,1392.800049,1385.129517,6889444
2019-04-30,1396.400024,1396.400024,1366.800049,1392.800049,1385.129517,10217019
2019-05-02,1392.000000,1413.900024,1382.099976,1405.050049,1397.312012,8682505
2019-05-03,1407.949951,1417.500000,1402.650024,1408.849976,1401.091064,6510169
2019-05-06,1398.000000,1402.800049,1378.099976,1384.900024,1377.272949,7237910
2019-05-07,1394.800049,1395.000000,1340.199951,1343.500000,1336.100952,8877095
2019-05-08,1340.000000,1340.000000,1292.199951,1299.449951,1292.293457,14610543
2019-05-09,1288.800049,1288.800049,1251.750000,1256.449951,1249.530273,19507368
2019-05-10,1265.000000,1277.699951,1245.000000,1251.150024,1244.259521,11226831
2019-05-13,1247.900024,1260.800049,1227.500000,1232.050049,1225.264771,8047801
2019-05-14,1236.500000,1269.349976,1231.500000,1260.449951,1253.508301,13001004
2019-05-15,1273.000000,1278.000000,1250.599976,1256.900024,1249.977905,11163801
2019-05-16,1259.949951,1271.900024,1258.099976,1265.349976,1258.381348,6606652
2019-05-17,1267.000000,1276.949951,1252.000000,1267.400024,1260.420044,7898440
2019-05-20,1313.599976,1337.699951,1303.500000,1325.900024,1318.597900,12333937
2019-05-21,1332.199951,1367.000000,1330.050049,1339.800049,1332.421387,13872055
2019-05-22,1345.650024,1359.699951,1335.099976,1340.400024,1333.018066,11287400
2019-05-23,1372.000000,1392.000000,1325.000000,1333.900024,1326.553833,17722514
2019-05-24,1348.000000,1353.800049,1316.500000,1336.849976,1329.487549,10180759
2019-05-27,1337.099976,1337.500000,1307.000000,1310.650024,1303.431885,7349720
2019-05-28,1319.800049,1334.800049,1313.349976,1323.750000,1316.459717,19472659
2019-05-29,1321.000000,1333.300049,1304.150024,1313.050049,1305.818726,7112830
2019-05-30,1316.250000,1342.000000,1316.250000,1329.750000,1322.426636,10740841
2019-05-31,1337.900024,1341.900024,1320.199951,1330.150024,1322.824463,11760178
2019-06-03,1335.000000,1367.250000,1321.199951,1360.199951,1352.708984,8483610
2019-06-04,1357.449951,1374.250000,1348.099976,1351.650024,1344.206055,7059911
2019-06-06,1361.900024,1361.900024,1321.099976,1327.349976,1320.039917,7664319
2019-06-07,1325.949951,1327.250000,1305.599976,1314.900024,1307.658447,6730595
2019-06-10,1320.900024,1327.000000,1310.099976,1319.150024,1311.885132,5380148
2019-06-11,1321.849976,1334.500000,1318.000000,1329.150024,1321.829956,5253790
2019-06-12,1334.699951,1338.400024,1325.000000,1332.150024,1324.813477,4707716
2019-06-13,1330.000000,1334.699951,1308.650024,1327.250000,1319.940430,7171189
2019-06-14,1321.900024,1325.000000,1309.400024,1317.550049,1310.293945,6831331
2019-06-17,1320.000000,1320.000000,1278.500000,1282.300049,1275.238037,6815554
2019-06-18,1278.900024,1287.949951,1269.099976,1281.000000,1273.945190,7679193
