time,buy_units,total_buy,sell_units,total_sell,initial_money
0.0,5.0,7509.849853515625,,,2490.150146484375
2.0,5.0,7501.400146484375,,,-5011.25
10.0,,,5.0,8372.80029296875,3361.55029296875
11.0,1.0,1683.780029296875,,,1677.770263671875
12.0,,,5.0,8466.099853515625,10143.8701171875
13.0,1.0,1696.199951171875,,,8447.670166015625
14.0,,,2.0,3264.340087890625,11712.01025390625
17.0,1.0,1670.5699462890625,,,10041.440307617188
18.0,1.0,1637.8900146484375,,,8403.55029296875
19.0,5.0,7969.4000244140625,,,434.1502685546875
20.0,,,5.0,8352.150268554688,8786.300537109375
21.0,,,2.0,3437.4599609375,12223.760498046875
23.0,5.0,8166.55029296875,,,4057.210205078125
24.0,,,5.0,8294.05029296875,12351.260498046875
30.0,5.0,8200.0,,,4151.260498046875
31.0,,,5.0,8113.2501220703125,12264.510620117188
34.0,5.0,8110.4998779296875,,,4154.0107421875
35.0,5.0,8097.19970703125,,,-3943.18896484375
38.0,,,5.0,8182.0001220703125,4238.8111572265625
39.0,5.0,8205.449829101562,,,-3966.638671875
49.0,,,5.0,8454.05029296875,4487.41162109375
50.0,1.0,1686.219970703125,,,2801.191650390625
53.0,5.0,8809.249877929688,,,-6008.0582275390625
57.0,,,5.0,8871.300048828125,2863.2418212890625
58.0,,,5.0,8918.800048828125,11782.041870117188
60.0,5.0,8867.100219726562,,,2914.941650390625
61.0,5.0,8903.75,,,-5988.808349609375
63.0,,,5.0,9069.89990234375,3081.091552734375
65.0,5.0,9094.299926757812,,,-6013.2083740234375
68.0,,,5.0,9179.199829101562,3165.991455078125
69.0,,,5.0,9236.649780273438,12402.641235351562
71.0,5.0,9215.30029296875,,,3187.3409423828125
72.0,5.0,9224.349975585938,,,-6037.009033203125
80.0,,,5.0,9753.150024414062,3716.1409912109375
82.0,,,5.0,9632.60009765625,13348.741088867188
83.0,,,1.0,1911.52001953125,15260.261108398438
84.0,5.0,9504.099731445312,,,5756.161376953125
85.0,,,5.0,9812.2998046875,15568.461181640625
86.0,1.0,1950.550048828125,,,13617.9111328125
87.0,1.0,1921.0,,,11696.9111328125
88.0,,,2.0,3835.5400390625,15532.451171875
91.0,5.0,9113.400268554688,,,6419.0509033203125
93.0,1.0,1871.1500244140625,,,4547.90087890625
94.0,,,5.0,9537.849731445312,14085.750610351562
95.0,,,1.0,1869.0,15954.750610351562
96.0,5.0,9294.849853515625,,,6659.9007568359375
99.0,5.0,9077.39990234375,,,-2417.4991455078125
101.0,,,5.0,9182.150268554688,6764.651123046875
102.0,,,5.0,9095.94970703125,15860.600830078125
106.0,1.0,1729.56005859375,,,14131.040771484375
