time,buy_units,total_buy,sell_units,total_sell,initial_money
0.0,5.0,8946.0498046875,,,11053.9501953125
3.0,1.0,1846.8900146484375,,,9207.060180664062
4.0,,,5.0,9239.199829101562,18446.260009765625
7.0,1.0,1902.8800048828125,,,16543.380004882812
9.0,5.0,9459.849853515625,,,7083.5301513671875
10.0,,,5.0,9505.250244140625,16588.780395507812
11.0,5.0,9415.800170898438,,,7172.980224609375
12.0,,,5.0,9456.500244140625,16629.48046875
13.0,5.0,9347.19970703125,,,7282.28076171875
15.0,,,5.0,9389.69970703125,16671.98046875
16.0,1.0,1864.719970703125,,,14807.260498046875
17.0,5.0,9460.0,,,5347.260498046875
18.0,,,5.0,9437.2998046875,14784.560302734375
19.0,5.0,9422.899780273438,,,5361.6605224609375
21.0,1.0,1828.3399658203125,,,3533.320556640625
23.0,5.0,9290.0,,,-5756.679443359375
28.0,,,5.0,10199.349975585938,4442.6705322265625
31.0,1.0,2133.909912109375,,,2308.7606201171875
33.0,5.0,10800.0,,,-8491.239379882812
34.0,,,5.0,10749.3505859375,2258.1112060546875
35.0,5.0,10674.3505859375,,,-8416.239379882812
36.0,,,5.0,10778.349609375,2362.1102294921875
38.0,,,5.0,10765.50048828125,13127.610717773438
39.0,,,5.0,10479.849853515625,23607.460571289062
41.0,5.0,9863.699951171875,,,13743.760620117188
42.0,,,5.0,9897.949829101562,23641.71044921875
43.0,5.0,9421.500244140625,,,14220.210205078125
44.0,1.0,1883.75,,,12336.460205078125
45.0,,,5.0,9769.749755859375,22106.2099609375
46.0,5.0,9544.949951171875,,,12561.260009765625
47.0,,,5.0,9879.149780273438,22440.409790039062
48.0,,,1.0,1924.030029296875,24364.439819335938
55.0,5.0,8445.750122070312,,,15918.689697265625
57.0,5.0,9150.0,,,6768.689697265625
58.0,1.0,1880.9300537109375,,,4887.7596435546875
59.0,,,5.0,9230.449829101562,14118.20947265625
60.0,1.0,1902.8299560546875,,,12215.379516601562
62.0,1.0,1885.8399658203125,,,10329.53955078125
65.0,,,5.0,9819.749755859375,20149.289306640625
67.0,1.0,1907.699951171875,,,18241.58935546875
68.0,,,4.0,7675.31982421875,25916.9091796875
